编号,岗位名称,岗位要求
31,人力资源总监hrd,"职责描述：
1. 根据公司发展战略，组织制定国际业务板块人力资源战略规划；参与公司重大人事决策；
2. 定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持；
3. 根据国际业务板块的情况，组织制定国际板块招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施；
4. 负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案；
5. 负责建立畅通的沟通渠道和有效的激励机制；
6. 定期组织收集员工想法和建议。

任职要求：
1. 本科及以上学历，人力资源管理、企业管理、工商管理等相关专业优先；
2. 10年以上人力资源工作经验，近5年大型制造业企业人力资源管理工作经验，新能源类企业优先；
3. 精通研发生产型企业的薪酬设计、绩效考核、激励制度、员工发展等；
4. 英语可作为工作语言者优先。"
,,
32,人力资源总监,"岗位职责：
1.负责全盘人力资源相关工作，根据公司业务策略，明确人力资源管理目标和总体方案，拟定人力资源规划方案，并监督各项计划的实施落地；
2.为组织发展提供人力资源支持，定期进行组织盘点，在招聘、培训、绩效考核、薪酬、员工关系等方面为业务部门提供有效的解决方案并实施；
3.持续完善公司人力资源的制度、流程、系统等；
4.推动公司文化建设，搭建有效沟通渠道，宣传公司价值观；
5.主动与管理层、业务主管及员工进行多种形式的接触和有效沟通，保证信息在不同层级间的有效传递
6.参与公司重大决策，对未来的组织需求有预判，从人力资源角度提供积极有效的建议和意见，为战略落地提供组织诊断和专业支持。

任职要求：
1.本科及以上学历；
2.十年左右人力资源相关的工作经验；三年或以上人力资源全盘管理经验，具有人力资源整体规划和团队管理经验；在人力资源工作多个模块，有成功的一线工作经验；
3.对于公司业务发展的“变化”有足够的包容和快速接受，并能由外而内的推动HR工作，适配公司业务在各个发展阶段的需要；
4.熟悉人力资源相关的政策、法律法规；
5.具备良好的人际交往能力、影响力、沟通能力、服务意识以及解决复杂问题和突发事件的能力；
6.自我驱动，有强烈的好奇心。"
,,
33,人力总监,"岗位职责：
1.理解业务战略并促进人力资源战略在业务部门的有效实施；
2.针对业务团队情况，清晰胜任力素质模型，设计人员成长路径及人员培养方案，有效制定和实施人才发展计划并跟进实施；
3.为团队的发展提供支持，应用专业理论、方法、工具，为业务团队提供全方位解决方案，包括招聘、培训、绩效、员工关系等人力资源工作；
4.通过与管理层及员工的互动，建立有效和多样化的渠道，保证组织中信息的通畅，推动公司文化的建设和业务的高速发展；
5.参与制订集团层面人力资源全面解决方案。
职位要求：
1.统招本科以上学历，5年以上人力资源工作经验；
2.有在大型制造业、供应链、物流公司工作经验,支持过研发体系业务更佳；
3.了解人力资源各模块基本工作，并具备TA、ER、C&B、OC&OD等两个模块以上的实操经验，熟悉国家相关的人力资源政策、法律法规；
4.自我驱动，思考力强，认真负责，有亲和力，能适应公司快速发展的工作节奏。"
,,
34,人力资源总监,"职责描述：

Responsibility:
1. 全面负责公司的人事工作，根据公司的用人需要进行及时的人员招聘；
2. 负责公司的薪酬体系、绩效考核、劳动关系、培训、人力资源规划等人事工作；
3. 负责公司的企业文化建设、人事制度建立及推进；
4. 其他相关的人事工作。

Qualification:
1. 本科以上学历，10年以上企业人事工作经验；有半导体和电子行业相关经验，高科技企业人事工作经验；
2. 熟悉人力资源工作的六大模块，具有良好的人才招聘经验；
3. 熟悉各项国家企业有关的政策，法律法规 企业各项制度制定和执行；
4. 具有企业文化建设的经验，有很强的沟通能力和部门协调能力；


"
,,
35,人力资源总监,"Tasks and responsibilities:

1.   Deeply participated in global business strategy and talent strategy at corporate level;

2.   Act as a strong business partner to offer solutions and advices related to talent and organization development to professionally support the international market development;

3.   Responsible for talent pipeline built-up for international business, including but not limited to: talent recruiting strategy, key talent scout, talent development etc...

4.   Responsible for remuneration incentives system design for international business, build-up and optimize the C&B policies and structures to partnership the global business growth;

5.   Lead the HR operation analysis for global business, including but not limited to: organization analysis, staff efficiency analysis, process and procedures analysis etc...







Required Qualification:

1.   Bachelor degree or above, majoring in HR Management or related;  

2.   With at least more than 8 years’ relevant working experience in world leading companies with manufacturing function;

3.   Expertise in HR 3 pillars (COE, HRBP and SSC); Strong knowledge and proven track records in talent scout, talent development, HR operation analysis, as well as sales incentive system design;

4.   Strong at change management, passionate to drive innovation; skilled in data analysis;

5.   High level of integrity and responsibility; with strong adaption, pressure handling ability;

6.   With the mobility to travel or relocate globally, such as Europe, North American and other countries in APAC region;

7.   Fluent English skills, knowledge of other foreign languages is an advantage.



"
,,
1,人力资源总监,"岗位职责：

岗位职责：

1、高层管理职位，协助决策层制定公司发展战略，负责其功能领域内短期及长期的公司决策和战略，对公司中长期目标的达成产生重要影响。

2、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本。

3、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度。

4、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划。

5、负责公司的整体企业文化建设。

任职资格：

任职资格：

1、人力资源管理或相关专业统招本科以上学历;八年以上行政人事管理经验，三年以上人力资源总监或人力资源部经理工作经验。

2、了解现代企业人力资源管理模式和实践经验积累，熟悉人力资源的六大模块（人力资源规划、招聘与配置、培训与开发、绩效管理、薪酬福利管理、员工劳动关系管理）；熟悉国家、地区及企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策。

3、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。"
